onset	duration	trial	trial_type	rating	resp_time	valence	s_ns	id
10.103965790345683	4	1	iti	8	2.865	positive	nonsocial	pos_nonsoc_108
14.118479918164667	8	1	message	8	2.865	positive	nonsocial	pos_nonsoc_108
22.13458005421853	5	1	rating	8	2.865	positive	nonsocial	pos_nonsoc_108
27.210529977062833	3	2	iti	9	2.142	negative	nonsocial	neg_nonsoc_209
30.217288259489578	8	2	message	9	2.142	negative	nonsocial	neg_nonsoc_209
38.23343116044998	5	2	rating	9	2.142	negative	nonsocial	neg_nonsoc_209
43.32965707097901	3	3	iti	6	1.409	negative	social	neg_soc_414
46.332778054638766	8	3	message	6	1.409	negative	social	neg_soc_414
54.348891305271536	5	3	rating	6	1.409	negative	social	neg_soc_414
59.45760371633514	3	4	iti	6	1.409	positive	social	pos_soc_308
62.46493789964006	8	4	message	6	1.409	positive	social	pos_soc_308
70.48107994531165	5	4	rating	6	1.409	positive	social	pos_soc_308
75.60647124430398	4	5	iti	5.0	0.0	negative	social	neg_soc_405
79.61367855835124	8	5	message	5.0	0.0	negative	social	neg_soc_405
87.62979408977844	5	5	rating	5.0	0.0	negative	social	neg_soc_405
92.73112014432263	4	6	iti	8	1.809	positive	nonsocial	pos_nonsoc_119
96.74576199670264	8	6	message	8	1.809	positive	nonsocial	pos_nonsoc_119
104.76187125593424	5	6	rating	8	1.809	positive	nonsocial	pos_nonsoc_119
109.88914620697324	6	7	iti	9	1.775	positive	social	pos_soc_302
115.8943675182818	8	7	message	9	1.775	positive	social	pos_soc_302
123.91050899375114	5	7	rating	9	1.775	positive	social	pos_soc_302
129.0053325000772	5	8	iti	6	2.142	negative	social	neg_soc_401
134.00970621072338	8	8	message	6	2.142	negative	social	neg_soc_401
142.0258206017461	5	8	rating	6	2.142	negative	social	neg_soc_401
147.12306916397938	5	9	iti	7	1.809	negative	social	neg_soc_403
152.12505174554826	8	9	message	7	1.809	negative	social	neg_soc_403
160.14116128988098	5	9	rating	7	1.809	negative	social	neg_soc_403
165.23121622284816	4	10	iti	4	0.775	negative	social	neg_soc_409
169.24046541914868	8	10	message	4	0.775	negative	social	neg_soc_409
177.2565438876336	5	10	rating	4	0.775	negative	social	neg_soc_409
182.38550947842305	6	11	iti	10	1.875	negative	social	neg_soc_407
188.38906780463003	8	11	message	10	1.875	negative	social	neg_soc_407
196.40515767710167	5	11	rating	10	1.875	negative	social	neg_soc_407
201.49683967261808	4	12	iti	8	4.675	negative	nonsocial	neg_nonsoc_217
205.50445952557493	8	12	message	8	4.675	negative	nonsocial	neg_nonsoc_217
213.5205884566676	5	12	rating	8	4.675	negative	nonsocial	neg_nonsoc_217
218.59601750283036	3	13	iti	6	1.008	negative	nonsocial	neg_nonsoc_207
221.60330692552088	8	13	message	6	1.008	negative	nonsocial	neg_nonsoc_207
229.61942046124022	5	13	rating	6	1.008	negative	nonsocial	neg_nonsoc_207
234.71872173951124	4	14	iti	10	1.908	negative	social	neg_soc_406
238.73538665757223	8	14	message	10	1.908	negative	social	neg_soc_406
246.75149962310388	5	14	rating	10	1.908	negative	social	neg_soc_406
251.82194741169224	4	15	iti	7	1.175	negative	nonsocial	neg_nonsoc_204
255.83413626841502	8	15	message	7	1.175	negative	nonsocial	neg_nonsoc_204
263.85025151472655	5	15	rating	7	1.175	negative	nonsocial	neg_nonsoc_204
268.94585505315627	4	16	iti	4	1.675	negative	social	neg_soc_417
272.949552507911	8	16	message	4	1.675	negative	social	neg_soc_417
280.9656429505703	5	16	rating	4	1.675	negative	social	neg_soc_417
286.05590600613505	6	17	iti	8	1.574	positive	nonsocial	pos_nonsoc_112
292.0648207807826	8	17	message	8	1.574	positive	nonsocial	pos_nonsoc_112
300.0809280443209	5	17	rating	8	1.574	positive	nonsocial	pos_nonsoc_112
305.15436766653147	2	18	iti	7	1.108	positive	nonsocial	pos_nonsoc_104
307.1637132264441	8	18	message	7	1.108	positive	nonsocial	pos_nonsoc_104
315.1797791505669	5	18	rating	7	1.108	positive	nonsocial	pos_nonsoc_104
320.27269192039967	2	19	iti	6	0.742	negative	nonsocial	neg_nonsoc_203
322.2792751517554	8	19	message	6	0.742	negative	nonsocial	neg_nonsoc_203
330.29538868747477	5	19	rating	6	0.742	negative	nonsocial	neg_nonsoc_203
335.39343894938065	6	20	iti	7	2.308	negative	nonsocial	neg_nonsoc_201
341.3945482713316	8	20	message	7	2.308	negative	nonsocial	neg_nonsoc_201
349.41065895605425	5	20	rating	7	2.308	negative	nonsocial	neg_nonsoc_201
