Unnamed: 0,timestamp,unix_timestamp,sub,valence,s_ns,id,message,combined_msg
66,2020-02-15 08:12:00,1581772320,1109,negative,social,417,"""Inactive people tend to live shorter lives. That means they also have less time to spend with the people they care about most.""","""Inactive people tend to live shorter lives. That means they also have less time to spend with the people they care about most. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
67,2020-02-16 10:59:00,1581868740,1109,positive,social,311,"""Physical activity reduces the risk for heart disease and stroke. This means you can live longer and spend more time enjoying your later years with friends and family.""","""Physical activity reduces the risk for heart disease and stroke. This means you can live longer and spend more time enjoying your later years with friends and family. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
68,2020-02-17 10:36:00,1581953760,1109,positive,nonsocial,101,"""It is never too late to start taking care of the body you have. You can start lengthening your life and preventing aches and pains from day one!""","""It is never too late to start taking care of the body you have. You can start lengthening your life and preventing aches and pains from day one! 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
69,2020-02-18 08:50:00,1582033800,1109,positive,nonsocial,104,"""Even short walks can help relieve stress and strengthen bones and muscles.""","""Even short walks can help relieve stress and strengthen bones and muscles. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
70,2020-02-19 10:30:00,1582126200,1109,negative,nonsocial,213,"""Weak muscles make it difficult for you to get around and do the things you enjoy.""","""Weak muscles make it difficult for you to get around and do the things you enjoy. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
71,2020-02-20 08:49:00,1582206540,1109,positive,nonsocial,117,"""Being active at any age has overall health benefits and can lengthen your life. It is never too late or too early to start being active.""","""Being active at any age has overall health benefits and can lengthen your life. It is never too late or too early to start being active. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
72,2020-02-21 10:27:00,1582298820,1109,negative,nonsocial,219,"""A lack of exercise robs the body of its essential ingredients! You need exercise to maintain energy levels, to sleep well, and to live a long life.""","""A lack of exercise robs the body of its essential ingredients! You need exercise to maintain energy levels, to sleep well, and to live a long life. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
73,2020-02-22 09:00:00,1582380000,1109,positive,nonsocial,119,"""It is never too late to start being active. The instant you start exercising, you will have a clearer mind and increased energy levels.""","""It is never too late to start being active. The instant you start exercising, you will have a clearer mind and increased energy levels. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
74,2020-02-23 08:56:00,1582466160,1109,positive,social,319,"""In a bad mood? Try taking a walk with a friend! Walking has been shown to help you clear your mind and improve your mood.""","""In a bad mood? Try taking a walk with a friend! Walking has been shown to help you clear your mind and improve your mood. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
75,2020-02-24 10:13:00,1582557180,1109,negative,social,416,"""People who are not physically active at least twice a week have a higher risk of dementia. Think about ways people close to you can help you exercise, and ask them!""","""People who are not physically active at least twice a week have a higher risk of dementia. Think about ways people close to you can help you exercise, and ask them! 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
76,2020-02-25 09:52:00,1582642320,1109,positive,nonsocial,120,"""Focus on reasons to get up and walk during the day. Walking helps keep your heart and lungs healthy.""","""Focus on reasons to get up and walk during the day. Walking helps keep your heart and lungs healthy. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
77,2020-02-26 10:45:00,1582731900,1109,positive,social,308,"""Walking helps keep your heart and lungs healthy. Set aside some time to just walk around. You can invite your family and friends to join in as well.""","""Walking helps keep your heart and lungs healthy. Set aside some time to just walk around. You can invite your family and friends to join in as well. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
78,2020-02-27 08:19:00,1582809540,1109,negative,social,403,"""Losing your independence due to poor health will impose an emotional and financial burden on your loved ones to care for you.""","""Losing your independence due to poor health will impose an emotional and financial burden on your loved ones to care for you. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
79,2020-02-28 08:51:00,1582897860,1109,negative,social,420,"""Physical inactivity can lead to low bone density and osteoporosis. Being confined to a wheelchair will make it harder for you to get around and spend time with loved ones.""","""Physical inactivity can lead to low bone density and osteoporosis. Being confined to a wheelchair will make it harder for you to get around and spend time with loved ones. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
