onset	duration	trial	trial_type	rating	resp_time	valence	s_ns	id
10.09120222330671	2	1	iti	5.0	0.0	negative	nonsocial	neg_nonsoc_202
12.097300750833483	8	1	message	5.0	0.0	negative	nonsocial	neg_nonsoc_202
20.113362877070358	5	1	rating	5.0	0.0	negative	nonsocial	neg_nonsoc_202
25.214758202834446	6	2	iti	3	1.792	negative	social	neg_soc_419
31.22912200134101	8	2	message	3	1.792	negative	social	neg_soc_419
39.245183557382234	5	2	rating	3	1.792	negative	social	neg_soc_419
44.32379158436834	4	3	iti	2	2.292	positive	nonsocial	pos_nonsoc_118
48.32776727350688	8	3	message	2	2.292	positive	nonsocial	pos_nonsoc_118
56.34383082523277	5	3	rating	2	2.292	positive	nonsocial	pos_nonsoc_118
61.470840479785466	2	4	iti	7	2.075	positive	nonsocial	pos_nonsoc_103
63.47653160252344	8	4	message	7	2.075	positive	nonsocial	pos_nonsoc_103
71.49263421265096	5	4	rating	7	2.075	positive	nonsocial	pos_nonsoc_103
76.61212298663918	3	5	iti	7	2.441	positive	social	pos_soc_314
79.62529336565967	8	5	message	7	2.441	positive	social	pos_soc_314
87.6413540664073	5	5	rating	7	2.441	positive	social	pos_soc_314
92.71492897643043	4	6	iti	7	1.142	positive	nonsocial	pos_nonsoc_116
96.72393920802097	8	6	message	7	1.142	positive	nonsocial	pos_nonsoc_116
104.74000361504045	5	6	rating	7	1.142	positive	nonsocial	pos_nonsoc_116
109.84656947491817	4	7	iti	5	2.809	negative	social	neg_soc_413
113.85591697723316	8	7	message	5	2.809	negative	social	neg_soc_413
121.87195572544852	5	7	rating	5	2.809	negative	social	neg_soc_413
126.97465594394748	2	8	iti	2	2.975	negative	nonsocial	neg_nonsoc_208
128.988052975737	8	8	message	2	2.975	negative	nonsocial	neg_nonsoc_208
137.00412165922376	5	8	rating	2	2.975	negative	nonsocial	neg_nonsoc_208
142.09680097435034	3	9	iti	5	1.875	negative	social	neg_soc_404
145.10344660459896	8	9	message	5	1.875	negative	social	neg_soc_404
153.1195053096617	5	9	rating	5	1.875	negative	social	neg_soc_404
158.21497801325586	3	10	iti	3	3.859	positive	nonsocial	pos_nonsoc_106
161.21882996993918	8	10	message	3	3.859	positive	nonsocial	pos_nonsoc_106
169.23489865342594	5	10	rating	3	3.859	positive	nonsocial	pos_nonsoc_106
174.2805966983392	3	11	iti	5	2.142	negative	nonsocial	neg_nonsoc_220
177.28422912969904	8	11	message	5	2.142	negative	nonsocial	neg_nonsoc_220
185.30034627981559	5	11	rating	5	2.142	negative	nonsocial	neg_nonsoc_220
190.38288637597338	4	12	iti	6	1.459	positive	nonsocial	pos_nonsoc_114
194.39955005861611	8	12	message	6	1.459	positive	nonsocial	pos_nonsoc_114
202.41560619779852	5	12	rating	6	1.459	positive	nonsocial	pos_nonsoc_114
207.4708111147097	2	13	iti	7	1.607	positive	nonsocial	pos_nonsoc_115
209.48168617115903	8	13	message	7	1.607	positive	nonsocial	pos_nonsoc_115
217.49778108364535	5	13	rating	7	1.607	positive	nonsocial	pos_nonsoc_115
222.59625016535665	5	14	iti	1	2.059	negative	nonsocial	neg_nonsoc_214
227.59691130720762	8	14	message	1	2.059	negative	nonsocial	neg_nonsoc_214
235.61297713971612	5	14	rating	1	2.059	negative	nonsocial	neg_nonsoc_214
240.7183740985206	5	15	iti	7	2.642	negative	social	neg_soc_410
245.72881181490993	8	15	message	7	2.642	negative	social	neg_soc_410
253.7448762219292	5	15	rating	7	2.642	negative	social	neg_soc_410
258.8639487530961	5	16	iti	5.0	0.0	positive	social	pos_soc_310
263.8773751499614	8	16	message	5.0	0.0	positive	social	pos_soc_310
271.89343841658956	5	16	rating	5.0	0.0	positive	social	pos_soc_310
276.99345358379355	3	17	iti	2	1.441	positive	nonsocial	pos_nonsoc_117
280.0094307508791	8	17	message	2	1.441	positive	nonsocial	pos_nonsoc_117
288.02549487280066	5	17	rating	2	1.441	positive	nonsocial	pos_nonsoc_117
293.12051056458495	6	18	iti	7	4.508	positive	social	pos_soc_319
299.1245874634503	8	18	message	7	4.508	positive	social	pos_soc_319
307.140646453611	5	18	rating	7	4.508	positive	social	pos_soc_319
312.2260894158003	6	19	iti	8	2.075	positive	nonsocial	pos_nonsoc_102
318.2397381889673	8	19	message	8	2.075	positive	nonsocial	pos_nonsoc_102
326.2557917622694	5	19	rating	8	2.075	positive	nonsocial	pos_nonsoc_102
331.38112475652633	6	20	iti	8	2.208	negative	social	neg_soc_418
337.3882211264329	8	20	message	8	2.208	negative	social	neg_soc_418
345.4042852483544	5	20	rating	8	2.208	negative	social	neg_soc_418
350.52034657631725	5	21	iti	0	4.641	positive	nonsocial	pos_nonsoc_110
355.53678816775596	8	21	message	0	4.641	positive	nonsocial	pos_nonsoc_110
363.55284373674294	5	21	rating	0	4.641	positive	nonsocial	pos_nonsoc_110
368.6686390684372	6	22	iti	6	3.842	negative	social	neg_soc_420
374.6852682542433	8	22	message	6	3.842	negative	social	neg_soc_420
382.7013377930234	5	22	rating	6	3.842	negative	social	neg_soc_420
387.81369655556205	5	23	iti	7	1.609	negative	social	neg_soc_408
392.817167906652	8	23	message	7	1.609	negative	social	neg_soc_408
400.83322205014974	5	23	rating	7	1.609	negative	social	neg_soc_408
405.92452234710777	5	24	iti	4	1.84	negative	nonsocial	neg_nonsoc_211
410.93240017014637	8	24	message	4	1.84	negative	nonsocial	neg_nonsoc_211
418.94846372187226	5	24	rating	4	1.84	negative	nonsocial	neg_nonsoc_211
424.0444798219164	3	25	iti	7	3.742	negative	nonsocial	neg_nonsoc_216
427.0477846758779	8	25	message	7	3.742	negative	nonsocial	neg_nonsoc_216
435.06384224054955	5	25	rating	7	3.742	negative	nonsocial	neg_nonsoc_216
440.1927463701345	2	26	iti	7	4.341	negative	social	neg_soc_411
442.1965880632963	8	26	message	7	4.341	negative	social	neg_soc_411
450.2126319432723	5	26	rating	7	4.341	negative	social	neg_soc_411
455.33985114472466	4	27	iti	4	3.142	negative	social	neg_soc_412
459.34517648695623	8	27	message	4	3.142	negative	social	neg_soc_412
467.3612873649206	5	27	rating	4	3.142	negative	social	neg_soc_412
472.42663435177883	3	28	iti	8	4.741	negative	nonsocial	neg_nonsoc_210
475.42724873758675	8	28	message	8	4.741	negative	nonsocial	neg_nonsoc_210
483.4433921167031	5	28	rating	8	4.741	negative	nonsocial	neg_nonsoc_210
488.5423806466474	6	29	iti	3	2.508	positive	social	pos_soc_318
494.54243823640763	8	29	message	3	2.508	positive	social	pos_soc_318
502.55850007754657	5	29	rating	3	2.508	positive	social	pos_soc_318
507.6512580796723	3	30	iti	7	2.807	positive	social	pos_soc_315
510.657847260552	8	30	message	7	2.807	positive	social	pos_soc_315
518.6738292743005	5	30	rating	7	2.807	positive	social	pos_soc_315
523.7805080329163	4	31	iti	3	2.708	negative	nonsocial	neg_nonsoc_219
527.7898016517427	8	31	message	3	2.708	negative	nonsocial	neg_nonsoc_219
535.8058709054251	5	31	rating	3	2.708	negative	nonsocial	neg_nonsoc_219
540.8911217116818	2	32	iti	0	2.941	negative	nonsocial	neg_nonsoc_212
542.9052468833106	8	32	message	0	2.941	negative	nonsocial	neg_nonsoc_212
550.9213617526445	5	32	rating	0	2.941	negative	nonsocial	neg_nonsoc_212
556.0398484077857	4	33	iti	3	3.642	positive	social	pos_soc_309
560.0539373719912	8	33	message	3	3.642	positive	social	pos_soc_309
568.0699992131299	5	33	rating	3	3.642	positive	social	pos_soc_309
573.1849865775944	4	34	iti	6	2.141	negative	social	neg_soc_416
577.1858655341821	8	34	message	6	2.141	negative	social	neg_soc_416
585.2019490427556	5	34	rating	6	2.141	negative	social	neg_soc_416
590.321797610196	4	35	iti	6	4.008	positive	social	pos_soc_306
594.3345317895478	8	35	message	6	4.008	positive	social	pos_soc_306
602.3505927753931	5	35	rating	6	4.008	positive	social	pos_soc_306
607.4252650269359	4	36	iti	9	2.475	negative	nonsocial	neg_nonsoc_213
611.433177917007	8	36	message	9	2.475	negative	nonsocial	neg_nonsoc_213
619.4492406134391	5	36	rating	9	2.475	negative	nonsocial	neg_nonsoc_213
624.5484238651966	6	37	iti	4	3.808	positive	nonsocial	pos_nonsoc_113
630.564993465558	8	37	message	4	3.808	positive	nonsocial	pos_nonsoc_113
638.5810555917947	5	37	rating	4	3.808	positive	nonsocial	pos_nonsoc_113
643.6950060554777	6	38	iti	5.0	0.0	positive	social	pos_soc_307
649.6968130054784	8	38	message	5.0	0.0	positive	social	pos_soc_307
657.7128725658349	5	38	rating	5.0	0.0	positive	social	pos_soc_307
662.8346999972632	4	39	iti	7	1.808	positive	social	pos_soc_304
666.8454527467466	8	39	message	7	1.808	positive	social	pos_soc_304
674.8615088859287	5	39	rating	7	1.808	positive	social	pos_soc_304
679.9755445938608	5	40	iti	3	2.708	positive	social	pos_soc_311
684.9773732112963	8	40	message	3	2.708	positive	social	pos_soc_311
692.993413955196	5	40	rating	3	2.708	positive	social	pos_soc_311
