onset	duration	trial	trial_type	rating	resp_time	valence	s_ns	id
10.034676261946515	5	1	iti	6	1.064	positive	nonsocial	pos_nonsoc_105
15.034824513237254	8	1	message	6	1.064	positive	nonsocial	pos_nonsoc_105
23.050914624933284	5	1	rating	6	1.064	positive	nonsocial	pos_nonsoc_105
28.081231158543233	3	2	iti	5.0	0.0	positive	nonsocial	pos_nonsoc_107
31.083607170572577	8	2	message	5.0	0.0	positive	nonsocial	pos_nonsoc_107
39.09969043990168	5	2	rating	5.0	0.0	positive	nonsocial	pos_nonsoc_107
44.13016064167641	6	3	iti	7	1.237	negative	social	neg_soc_414
50.13215918311289	8	3	message	7	1.237	negative	social	neg_soc_414
58.148208810802316	5	3	rating	7	1.237	negative	social	neg_soc_414
63.17901343327685	4	4	iti	7	0.821	negative	nonsocial	neg_nonsoc_217
67.18085374497059	8	4	message	7	0.821	negative	nonsocial	neg_nonsoc_217
75.19695269472322	5	4	rating	7	0.821	negative	nonsocial	neg_nonsoc_217
80.23072405360108	3	5	iti	5.0	0.0	positive	social	pos_soc_308
83.24630611952853	8	5	message	5.0	0.0	positive	social	pos_soc_308
91.26240934576163	5	5	rating	5.0	0.0	positive	social	pos_soc_308
96.29408380417408	6	6	iti	6	0.587	positive	nonsocial	pos_nonsoc_119
102.29486697012544	8	6	message	6	0.587	positive	nonsocial	pos_nonsoc_119
110.31094681827017	5	6	rating	6	0.587	positive	nonsocial	pos_nonsoc_119
115.34128159819375	6	7	iti	10	2.154	negative	social	neg_soc_406
121.34340928931124	8	7	message	10	2.154	negative	social	neg_soc_406
129.35954501679043	5	7	rating	10	2.154	negative	social	neg_soc_406
134.38488173253245	4	8	iti	4	1.27	negative	nonsocial	neg_nonsoc_204
138.392106987254	8	8	message	4	1.27	negative	nonsocial	neg_nonsoc_204
146.40822617901176	5	8	rating	4	1.27	negative	nonsocial	neg_nonsoc_204
151.43940028931866	6	9	iti	5.0	0.0	negative	social	neg_soc_403
157.44068437357237	8	9	message	5.0	0.0	negative	social	neg_soc_403
165.4567454052085	5	9	rating	5.0	0.0	negative	social	neg_soc_403
170.49983435769354	4	10	iti	6	3.82	positive	social	pos_soc_312
174.50603012124157	8	10	message	6	3.82	positive	social	pos_soc_312
182.52212536471234	5	10	rating	6	3.82	positive	social	pos_soc_312
187.5548820575459	4	11	iti	5.0	0.0	positive	social	pos_soc_303
191.5714003873927	8	11	message	5.0	0.0	positive	social	pos_soc_303
199.5874822312271	5	11	rating	5.0	0.0	positive	social	pos_soc_303
204.61765136884424	4	12	iti	6	0.437	positive	nonsocial	pos_nonsoc_112
208.62009894062976	8	12	message	6	0.437	positive	nonsocial	pos_nonsoc_112
216.6361890523258	5	12	rating	6	0.437	positive	nonsocial	pos_nonsoc_112
221.67406212527385	6	13	iti	5.0	0.0	negative	nonsocial	neg_nonsoc_218
227.68531211743357	8	13	message	5.0	0.0	negative	nonsocial	neg_nonsoc_218
235.70140251422708	5	13	rating	5.0	0.0	negative	nonsocial	neg_nonsoc_218
240.72987930634372	4	14	iti	9	1.87	positive	social	pos_soc_320
244.7340229299134	8	14	message	9	1.87	positive	social	pos_soc_320
252.75011104591795	5	14	rating	9	1.87	positive	social	pos_soc_320
257.77861264161584	4	15	iti	9	2.504	positive	social	pos_soc_316
261.782716636475	8	15	message	9	2.504	positive	social	pos_soc_316
269.7988306964562	5	15	rating	9	2.504	positive	social	pos_soc_316
274.8259737971548	6	16	iti	5.0	0.0	negative	nonsocial	neg_nonsoc_209
280.8312709298043	8	16	message	5.0	0.0	negative	nonsocial	neg_nonsoc_209
288.84735819051275	5	16	rating	5.0	0.0	negative	nonsocial	neg_nonsoc_209
293.8816988913659	5	17	iti	2	1.837	negative	social	neg_soc_405
298.8965744828747	8	17	message	2	1.837	negative	social	neg_soc_405
306.91265148003185	5	17	rating	2	1.837	negative	social	neg_soc_405
311.9477340075355	5	18	iti	9	2.253	negative	social	neg_soc_407
316.96185608334963	8	18	message	9	2.253	negative	social	neg_soc_407
324.9779410632691	5	18	rating	9	2.253	negative	social	neg_soc_407
330.0114931812968	4	19	iti	4	0.887	negative	social	neg_soc_415
334.0272243538093	8	19	message	4	0.887	negative	social	neg_soc_415
342.0433292906346	5	19	rating	4	0.887	negative	social	neg_soc_415
347.0720572546488	6	20	iti	5.0	0.0	negative	nonsocial	neg_nonsoc_203
353.0757786471386	8	20	message	5.0	0.0	negative	nonsocial	neg_nonsoc_203
361.0918596356787	5	20	rating	5.0	0.0	negative	nonsocial	neg_nonsoc_203
366.1186058790754	3	21	iti	5.0	0.0	negative	nonsocial	neg_nonsoc_207
369.1245296585257	8	21	message	5.0	0.0	negative	nonsocial	neg_nonsoc_207
377.1406234765036	5	21	rating	5.0	0.0	negative	nonsocial	neg_nonsoc_207
382.1702993934814	4	22	iti	6	0.537	positive	nonsocial	pos_nonsoc_108
386.1732481686686	8	22	message	6	0.537	positive	nonsocial	pos_nonsoc_108
394.1893425568451	5	22	rating	6	0.537	positive	nonsocial	pos_nonsoc_108
399.2149250276125	3	23	iti	5.0	0.0	positive	nonsocial	pos_nonsoc_104
402.2220313962025	8	23	message	5.0	0.0	positive	nonsocial	pos_nonsoc_104
410.2381229333914	5	23	rating	5.0	0.0	positive	nonsocial	pos_nonsoc_104
415.267789442114	5	24	iti	9	1.604	negative	social	neg_soc_417
420.2706640916567	8	24	message	9	1.604	negative	social	neg_soc_417
428.28674108881387	5	24	rating	9	1.604	negative	social	neg_soc_417
433.31568715328467	4	25	iti	7	0.87	negative	social	neg_soc_409
437.31936492568275	8	25	message	7	0.87	negative	social	neg_soc_409
445.3354439185332	5	25	rating	7	0.87	negative	social	neg_soc_409
450.3654924594266	5	26	iti	5.0	0.0	negative	nonsocial	neg_nonsoc_206
455.36798849798106	8	26	message	5.0	0.0	negative	nonsocial	neg_nonsoc_206
463.38407404809914	5	26	rating	5.0	0.0	negative	nonsocial	neg_nonsoc_206
468.4174485496751	4	27	iti	4	3.021	positive	social	pos_soc_301
472.4333619002173	8	27	message	4	3.021	positive	social	pos_soc_301
480.4494437440517	5	27	rating	4	3.021	positive	social	pos_soc_301
485.47856599947954	2	28	iti	4	1.837	positive	nonsocial	pos_nonsoc_120
487.48220898984437	8	28	message	4	1.837	positive	nonsocial	pos_nonsoc_120
495.4982985313436	5	28	rating	4	1.837	positive	nonsocial	pos_nonsoc_120
500.52736946901496	3	29	iti	5.0	0.0	positive	social	pos_soc_313
503.5309813836302	8	29	message	5.0	0.0	positive	social	pos_soc_313
511.54707919298926	5	29	rating	5.0	0.0	positive	social	pos_soc_313
516.5784825225983	2	30	iti	7	0.721	negative	nonsocial	neg_nonsoc_201
518.5798421579912	8	30	message	7	0.721	negative	nonsocial	neg_nonsoc_201
526.5959262826163	5	30	rating	7	0.721	negative	nonsocial	neg_nonsoc_201
531.6245818315765	2	31	iti	7	1.054	negative	social	neg_soc_402
