onset	duration	trial	trial_type	rating	resp_time	valence	s_ns	id
10.093650340208114	2	1	iti	9	3.234	negative	nonsocial	neg_nonsoc_208
12.101304668376088	8	1	message	9	3.234	negative	nonsocial	neg_nonsoc_208
20.117391643987048	5	1	rating	9	3.234	negative	nonsocial	neg_nonsoc_208
25.209657260122185	4	2	iti	6	1.994	negative	social	neg_soc_419
29.21666526968329	8	2	message	6	1.994	negative	social	neg_soc_419
37.2327804700592	5	2	rating	6	1.994	negative	social	neg_soc_419
42.28615777700611	4	3	iti	10	2.028	positive	nonsocial	pos_nonsoc_116
46.298696985195875	8	3	message	10	2.028	positive	nonsocial	pos_nonsoc_116
54.31479137337146	5	3	rating	10	2.028	positive	nonsocial	pos_nonsoc_116
59.40453158579271	4	4	iti	9	2.028	positive	social	pos_soc_311
63.41405701630583	8	4	message	9	2.028	positive	social	pos_soc_311
71.43014171112782	5	4	rating	9	2.028	positive	social	pos_soc_311
76.51120580187126	2	5	iti	7	1.527	negative	nonsocial	neg_nonsoc_219
78.51288503283467	8	5	message	7	1.527	negative	nonsocial	neg_nonsoc_219
86.52898768887076	5	5	rating	7	1.527	negative	nonsocial	neg_nonsoc_219
91.5796100877019	5	6	iti	10	1.694	positive	nonsocial	pos_nonsoc_115
96.59480327909046	8	6	message	10	1.694	positive	nonsocial	pos_nonsoc_115
104.61094641913246	5	6	rating	10	1.694	positive	nonsocial	pos_nonsoc_115
109.66455722186197	2	7	iti	7	4.228	negative	nonsocial	neg_nonsoc_202
111.67704254640967	8	7	message	7	4.228	negative	nonsocial	neg_nonsoc_202
119.69312296475209	5	7	rating	7	4.228	negative	nonsocial	neg_nonsoc_202
124.78279190251442	3	8	iti	10	1.895	positive	nonsocial	pos_nonsoc_110
127.79243564896137	8	8	message	10	1.895	positive	nonsocial	pos_nonsoc_110
135.80856225328262	5	8	rating	10	1.895	positive	nonsocial	pos_nonsoc_110
140.9073834274443	4	9	iti	10	4.194	negative	social	neg_soc_411
144.9078407256559	8	9	message	10	4.194	negative	social	neg_soc_411
152.92392656087213	5	9	rating	10	4.194	negative	social	neg_soc_411
157.98960758453586	4	10	iti	3	1.361	negative	social	neg_soc_404
161.98987130077376	8	10	message	3	1.361	negative	social	neg_soc_404
170.0059520042148	5	10	rating	3	1.361	negative	social	neg_soc_404
175.09718898447295	4	11	iti	10	2.361	positive	social	pos_soc_314
179.1052358934619	8	11	message	10	2.361	positive	social	pos_soc_314
187.12131060983165	5	11	rating	10	2.361	positive	social	pos_soc_314
192.1946416851838	3	12	iti	6	0.761	negative	nonsocial	neg_nonsoc_214
195.20400033299507	8	12	message	6	0.761	negative	nonsocial	neg_nonsoc_214
203.22008388742256	5	12	rating	6	0.761	negative	nonsocial	neg_nonsoc_214
208.31034725584004	3	13	iti	8	1.228	positive	social	pos_soc_309
211.3194359152435	8	13	message	8	1.228	positive	social	pos_soc_309
219.33551946967077	5	13	rating	8	1.228	positive	social	pos_soc_309
224.41461096295484	4	14	iti	4	0.661	negative	social	neg_soc_413
228.41809686397187	8	14	message	4	0.661	negative	social	neg_soc_413
236.4341980945146	5	14	rating	4	0.661	negative	social	neg_soc_413
241.4788040568394	2	15	iti	7	1.327	negative	nonsocial	neg_nonsoc_210
243.48364816775643	8	15	message	7	1.327	negative	nonsocial	neg_nonsoc_210
